"Designator","Value","X(mm)","Y(mm)","Rotation","Mount","ProductNr"
"C11","15pF","3.60","-32.47","0","Y",""
"C13","15pF","3.59","-25.78","-180","Y",""
"C4","100nF","23.28","-36.18","90","Y",""
"C6","100nF","38.26","-44.38","90","Y",""
"C8","100nF","35.69","-37.37","-90","Y",""
"C12","100nF","25.30","-26.95","-90","Y",""
"C15","100nF","36.63","-21.75","90","Y",""
"C17","100nF","45.75","-14.61","-180","Y",""
"C1","10uF","40.91","-27.95","90","Y",""
"C5","10uF","21.31","-36.18","90","Y",""
"C14","10uF","23.30","-26.95","-90","Y",""
"C2","100uF","43.98","-37.63","-180","Y",""
"R5","0R","27.27","-49.57","-90","Y",""
"R20","100R","20.65","-14.59","0","Y",""
"R21","100R","20.65","-16.60","0","Y",""
"R22","100R","20.65","-18.62","0","Y",""
"R17","330R","8.42","-21.50","-90","Y",""
"R23","330R","27.52","-15.42","-90","Y",""
"R19","2k","29.60","-20.38","-180","Y",""
"R8","4.7k","37.64","-37.37","-90","Y",""
"R16","4.7k","24.25","-22.59","0","Y",""
"R4","10k","40.26","-44.35","90","Y",""
"R12","10k","38.27","-41.05","-90","Y",""
"R18","20k","29.60","-22.58","-180","Y",""
"X1","CX3225SB16000M0FDFCC","3.55","-29.12","0","Y",""
"D7","LED 5050RGB-CHINA","13.95","-16.62","-180","Y",""
"Q1","SS8050","31.47","-15.53","-90","Y",""
"Q6","SS8050","33.33","-21.45","-180","Y",""
"U6","ATmega328PB-AN","13.50","-28.47","-180","Y",""
"U2","ESP32-PICO-D4","29.53","-42.16","90","Y",""
"U1","NCP1117LPST33T3G","34.02","-29.18","0","Y",""
"P3","Header 3X2","14.63","-38.41","0","Y",""
"P10","Header 3X2","4.67","-38.41","0","Y",""
"S1","Switch_Mini","46.19","-30.12","-90","Y",""
"PIW1","0R","26.44","-47.27","0","Y",""
"PIW2","0R","26.44","-51.86","-180","Y",""
"ANT_WIFI1","ANTENNA 2.4Ghz IFA","28.93","-53.85","0","Y",""
"Fid1","Fiducial","48.35","-1.61","","N",""
"Fid2","Fiducial","0.00","59.51","","N",""
