"Designator","Value","X(mm)","Y(mm)","Rotation","Mount","ProductNr"
"C3","100nF","34.25","16.48","-180","Y",""
"C7","100nF","34.23","22.77","0","Y",""
"C10","100nF","34.23","29.07","0","Y",""
"L1","15uH","42.65","40.35","0","Y",""
"U5","IRM-10-5","9.55","30.25","-90","Y",""
"P1","DG205-5.0-01P","37.10","57.77","90","Y",""
"P5","DG205-5.0-01P","32.10","57.77","90","Y",""
"P7","DG205-5.0-01P","17.10","57.77","90","Y",""
"P8","DG205-5.0-01P","27.10","57.77","90","Y",""
"P6","DG205-5.0-01P","12.10","57.77","90","Y",""
"P9","DG205-5.0-01P","22.10","57.77","90","Y",""
"P2","Header 3X2","44.78","51.23","0","Y",""
"RL1","HRS3FNH-S-DC5V-A","32.37","43.50","90","Y",""
