Altium Designer Pick and Place Locations
D:\WOW\10.2_NanoDimmerEVO\02_Hardware\Project Outputs for NanoDimmerEVO\Pick Place\Pick Place for PCB_A.csv

========================================================================================================================
File Design Information:

Date:       12/12/25
Time:       18:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FD2","Fiducial China","BottomLayer","fiducial_BASE","0.8253","0.8253","270",""
"R23","330R","BottomLayer","R0603_BASE","21.6582","46.5278","270","5%"
"C17","100nF","BottomLayer","C0603_BASE","3.4278","47.3418","180","16V"
"Q1","SS8050","BottomLayer","MMBT2222A","17.7000","46.4250","270","NPN General Prupose"
"U2","ESP32-PICO-D4","BottomLayer","ESP32-PICO-D4","19.6500","19.7900","90","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Surface Mount"
"FD1","Fiducial China","BottomLayer","fiducial_BASE","49.1747","61.9497","90",""
"X1","CX3225SB16000M0FDFCC","BottomLayer","CX3225SB16000M0FDFCC","45.6258","32.8286","360","Crystals AEC-Q200 16MHz 16 pF 3.2x2.5mm"
"U6","ATmega328PB-AN","BottomLayer","32A_N","35.6750","33.4750","180","8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 32-pin TQFP, Industrial Grade (-40°C to 105°C)"
"U1","NCP1117LPST33T3G","BottomLayer","SOT-223-3","15.1500","32.7750","360","Linear Voltage Regulator IC 1 Output 1A"
"S1","Switch_Mini","BottomLayer","SWITCH_MINI","2.9819","31.8322","270","Switch_Mini (Taobao)"
"R22","100R","BottomLayer","R0603_BASE","28.5222","43.3332","360","5%"
"R20","100R","BottomLayer","R0603_BASE","28.5222","47.3582","360","5%"
"R21","100R","BottomLayer","R0603_BASE","28.5222","45.3457","360","5%"
"R19","2K","BottomLayer","R0603_BASE","19.5778","41.5668","180","5%"
"R18","20K","BottomLayer","R0603_BASE","19.5778","39.3722","180","5%"
"R16","4.7K","BottomLayer","R0603_BASE","24.9222","39.3582","360","5%"
"R17","330R","BottomLayer","R0603_BASE","40.7582","40.4528","270","5%"
"R12","10K","BottomLayer","R0603_BASE","10.9082","20.9028","270","5%"
"R8","4.7K","BottomLayer","R0603_BASE","11.5332","24.5778","270","5%"
"R5","0R","BottomLayer","R0603_BASE","21.9082","12.3778","270","5%"
"R4","10K","BottomLayer","R0603_BASE","8.9168","17.5972","90","5%"
"Q6","SS8050","BottomLayer","MMBT2222A","15.8500","40.4988","180","NPN General Prupose"
"PIW2","0R","BottomLayer","R0603_BASE","22.7332","10.0922","180","5%"
"PIW1","0R","BottomLayer","R0603_BASE","22.7332","14.6750","360","5%"
"P10","Header 3X2","BottomLayer","HDR2X3","44.5100","23.5450","360","DO NOT PLACE"
"P4","Header 3X2","TopLayer","HDR2X3_FEMEA","5.1900","51.2200","0","Header 3X2 Femal"
"P3","Header 3X2","BottomLayer","HDR2X3","34.5500","23.5450","360","DO NOT PLACE"
"D7","LED 5050RGB-CHINA","BottomLayer","LED_5050RGB-CHINA","35.2250","45.3250","180",""
"C15","100nF","BottomLayer","C0603_BASE","12.5418","40.1972","90","16V"
"C13","15pF","BottomLayer","C0603_BASE","45.5834","36.1668","180","16V"
"C14","10uF","BottomLayer","C0603_BASE","25.8750","35.0028","270","16V"
"C12","100nF","BottomLayer","C0603_BASE","23.8750","35.0028","270","16V"
"C11","15pF","BottomLayer","C0603_BASE","45.5722","29.4832","360","16V"
"C8","100nF","BottomLayer","C0603_BASE","13.4832","24.5778","270","16V"
"C6","100nF","BottomLayer","C0603_BASE","10.9168","17.5722","90","16V"
"C5","10uF","BottomLayer","C0603_BASE","27.8668","25.7722","90","16V"
"C4","100nF","BottomLayer","C0603_BASE","25.9000","25.7722","90","16V"
"C2","100uF","BottomLayer","CAP_TANT_V_CASE_2924","5.2000","24.3250","180","16V Tantalum"
"C1","10uF","BottomLayer","C0603_BASE","8.2668","33.9972","90","16V"
"ANT_WIFI1","ANTENNA 2.4Ghz IFA","BottomLayer","ANTENNA_2.4Ghz_IFA","20.2451","8.1019","360",""
