"Designator","Value","X(mm)","Y(mm)","Rotation","Mount","ProductNr"
"C16","100nF","8.28","-15.12","0","Y",""
"C9","10uF","44.45","-17.86","0","Y",""
"R15","200R","36.77","-16.06","-180","Y",""
"R7","220R","15.68","-42.33","90","Y",""
"R14","220R","15.68","-33.20","90","Y",""
"R9","2k","35.50","-20.83","-180","Y",""
"R11","10k","40.82","-17.86","-180","Y",""
"R6","33k","39.47","-11.75","0","Y",""
"R10","33k","28.23","-21.35","-180","Y",""
"R1","33k","29.15","-52.42","90","Y",""
"R2","33k","24.55","-52.44","-90","Y",""
"R3","33k","19.95","-52.44","-90","Y",""
"R13","499k","18.40","-17.43","90","Y",""
"L2","PBY201209T-601Y-N","1.85","-15.80","-90","Y",""
"D3","1N4148W","46.88","-20.88","90","Y",""
"D6","1N4148W","17.38","-22.78","-180","Y",""
"D1","1.5SMC600A","41.60","-44.28","0","Y",""
"D4","1.5SMC600A","32.12","-44.22","-180","Y",""
"D2","SMAZ16-13-F","41.50","-21.17","0","Y",""
"D5","SMAZ16-13-F","23.22","-19.10","-90","Y",""
"Q2","OSG60R180KSF","42.45","-30.97","-90","Y",""
"Q5","OSG60R180KSF","27.90","-30.97","-90","Y",""
"Q3","SS8050","27.90","-16.05","90","Y",""
"Q4","SS8050","32.70","-16.98","90","Y",""
"U4","EL357N-G","5.85","-48.00","90","Y",""
"U3","MB6S","13.35","-50.80","-180","Y",""
"Fid1","Fiducial","0.00","59.51","","N",""
"Fid2","Fiducial","48.35","-1.61","","N",""
